Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8BI21	RNF38_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF38 (EC 2.3.2.27) (RING finger protein 38) (RING-type E3 ubiquitin transferase RNF38)	Rnf38	Mus musculus (Mouse)	518
P50636	RN19A_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (Gametogenesis-expressed protein GEG-154) (RING finger protein 19A) (UBCM4-interacting protein 117) (UIP117) (XY body protein) (XYbp)	Rnf19a Geg-154 Rnf19 Xybp	Mus musculus (Mouse)	840
A2A7Q9	RN19B_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	Rnf19b Ibrdc3 Nklam	Mus musculus (Mouse)	732
Q3U2C5	RN149_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF149 (EC 2.3.2.27) (Goliath-related E3 ubiquitin-protein ligase 4) (RING finger protein 149) (RING-type E3 ubiquitin transferase RNF149)	Rnf149 Greul4	Mus musculus (Mouse)	394
Q9QYK7	RNF11_MOUSE	reviewed	RING finger protein 11 (NEDD4 WW domain-binding protein 2) (Sid 1669)	Rnf11 N4wbp2 Sid1669	Mus musculus (Mouse)	154
Q91YL2	RN126_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF126 (EC 2.3.2.27) (RING finger protein 126)	Rnf126	Mus musculus (Mouse)	313
Q99ML9	RN111_MOUSE	reviewed	E3 ubiquitin-protein ligase Arkadia (EC 2.3.2.27) (RING finger protein 111) (RING-type E3 ubiquitin transferase Arkadia)	Rnf111	Mus musculus (Mouse)	989
Q8QZS5	RN183_MOUSE	reviewed	Probable E3 ubiquitin-protein ligase RNF183 (EC 2.3.2.27)	Rnf183	Mus musculus (Mouse)	190
Q9ET26	RN114_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313)	Rnf114 Zfp228 Zfp313 Znf228 Znf313	Mus musculus (Mouse)	229
Q8BFX1	RN187_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187)	Rnf187	Mus musculus (Mouse)	236
Q9D0C1	RN115_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF115 (EC 2.3.2.27) (RING finger protein 115) (RING-type E3 ubiquitin transferase RNF115) (Rabring 7) (Zinc finger protein 364)	Rnf115 Zfp364 Znf364	Mus musculus (Mouse)	305
E9Q555	RN213_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)	Rnf213 Mystr	Mus musculus (Mouse)	5152
Q8CBG9	RN170_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF170 (EC 2.3.2.27) (RING finger protein 170) (RING-type E3 ubiquitin transferase RNF170)	Rnf170	Mus musculus (Mouse)	286
Q9WTV7	RNF12_MOUSE	reviewed	E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM)	Rlim Rnf12	Mus musculus (Mouse)	600
Q925F4	RNF37_MOUSE	reviewed	RING finger protein 37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF37) (U-box domain-containing protein 5) (UbcM4-interacting protein 5)	Ubox5 Rnf37 Uip5	Mus musculus (Mouse)	539
Q8BH75	RNF41_MOUSE	reviewed	E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1)	Rnf41 Flrf Nrdp1	Mus musculus (Mouse)	317
Q9R1W3	RN103_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (mKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103) (Zfp-103)	Rnf103 Zfp103	Mus musculus (Mouse)	683
Q9D304	RN128_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF128 (EC 2.3.2.27) (Gene related to anergy in lymphocytes protein) (Goliath-related E3 ubiquitin-protein ligase 1) (RING finger protein 128) (RING-type E3 ubiquitin transferase RNF128)	Rnf128 Grail Greul1 MNCb-3816	Mus musculus (Mouse)	428
Q9CQE0	RN138_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)	Rnf138 Trif	Mus musculus (Mouse)	245
Q62191	RO52_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING-type E3 ubiquitin transferase TRIM21) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	Trim21 Ro52 Ssa1	Mus musculus (Mouse)	470
Q9QXE7	TBL1X_MOUSE	reviewed	F-box-like/WD repeat-containing protein TBL1X (Transducin beta-like protein 1X)	Tbl1x Tbl1	Mus musculus (Mouse)	527
Q01853	TERA_MOUSE	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Vcp	Mus musculus (Mouse)	806
Q62318	TIF1B_MOUSE	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-A-interacting protein) (KRIP-1) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	Trim28 Kap1 Krip1 Tif1b	Mus musculus (Mouse)	834
Q9JLV2	TP4AP_MOUSE	reviewed	Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (Rabex-5/Rin2-interacting protein) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)	Trpc4ap Trrp4ap	Mus musculus (Mouse)	797
Q80Z37	TOPRS_MOUSE	reviewed	E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)	Topors	Mus musculus (Mouse)	1033
Q64127	TIF1A_MOUSE	reviewed	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase Trim24) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	Trim24 Tif1 Tif1a	Mus musculus (Mouse)	1051
Q9Z172	SUMO3_MOUSE	reviewed	Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (Ubiquitin-like protein SMT3A) (Smt3A)	Sumo3 Smt3a Smt3h1	Mus musculus (Mouse)	110
Q9R1T2	SAE1_MOUSE	reviewed	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]	Sae1 Aos1 Sua1 Ubl1a1 Uble1a	Mus musculus (Mouse)	350
Q9Z1F9	SAE2_MOUSE	reviewed	SUMO-activating enzyme subunit 2 (EC 2.3.2.-) (Anthracycline-associated resistance ARX) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2)	Uba2 Sae2 Uble1b	Mus musculus (Mouse)	638
Q91ZX6	SENP2_MOUSE	reviewed	Sentrin-specific protease 2 (EC 3.4.22.-) (Axam2) (SUMO-1 protease 1) (SuPr-1) (SUMO-1/Smt3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2)	Senp2 Smt3ip2 Supr1	Mus musculus (Mouse)	588
Q9D2Z4	SENP8_MOUSE	reviewed	Sentrin-specific protease 8 (EC 3.4.22.-) (Deneddylase-1) (NEDD8-specific protease 1) (Sentrin/SUMO-specific protease SENP8)	Senp8 Den1 Nedp1	Mus musculus (Mouse)	221
P59110	SENP1_MOUSE	reviewed	Sentrin-specific protease 1 (EC 3.4.22.-) (SUMO-1 protease 2) (SuPr-2) (Sentrin/SUMO-specific protease SENP1)	Senp1 Supr2	Mus musculus (Mouse)	640
Q9CX34	SGT1_MOUSE	reviewed	Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog)	Sugt1	Mus musculus (Mouse)	336
Q69ZI1	SH3R1_MOUSE	reviewed	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1) (SH3 multiple domains protein 2)	Sh3rf1 Kiaa1494 Posh Posh1 Sh3md2	Mus musculus (Mouse)	892
Q60769	TNAP3_MOUSE	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (Putative DNA-binding protein A20) (Zinc finger protein A20)	Tnfaip3 Tnfip3	Mus musculus (Mouse)	775
Q810I2	TRI50_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM50 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM50) (Tripartite motif-containing protein 50)	Trim50	Mus musculus (Mouse)	483
Q8R0K2	TRI31_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM31 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM31) (Tripartite motif-containing protein 31)	Trim31	Mus musculus (Mouse)	507
Q8CH72	TRI32_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM32 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM32) (Tripartite motif-containing protein 32)	Trim32	Mus musculus (Mouse)	655
Q9JIL5	TULP4_MOUSE	reviewed	Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)	Tulp4 Tusp	Mus musculus (Mouse)	1547
Q6PCX9	TRI37_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	Trim37 Kiaa0898	Mus musculus (Mouse)	961
Q3UWA4	TRI40_MOUSE	reviewed	Tripartite motif-containing protein 40 (Probable E3 NEDD8-protein ligase)	Trim40 Gm319	Mus musculus (Mouse)	246
Q8BGX0	TRI23_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	Trim23 Arfd1	Mus musculus (Mouse)	574
Q8K243	TRI68_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM68 (EC 2.3.2.27) (RING finger protein 137) (RING-type E3 ubiquitin transferase TRIM68) (Tripartite motif-containing protein 68)	Trim68 Rnf137	Mus musculus (Mouse)	485
Q38HM4	TRI63_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (Muscle RING finger protein 1) (RING-type E3 ubiquitin transferase TRIM63) (Tripartite motif-containing protein 63)	Trim63 Murf1 Rf1	Mus musculus (Mouse)	350
Q923T7	TRIM7_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (Tripartite motif-containing protein 7)	Trim7 Gnip	Mus musculus (Mouse)	510
Q99PJ2	TRIM8_MOUSE	reviewed	Probable E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8)	Trim8 Gerp Rnf27	Mus musculus (Mouse)	551
Q8BVP1	TRIML_MOUSE	reviewed	Probable E3 ubiquitin-protein ligase TRIML1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIML1) (Tripartite motif family-like protein 1)	Triml1	Mus musculus (Mouse)	470
G5E870	TRIPC_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Trip12	Mus musculus (Mouse)	2025
Q8VIG6	TRAIP_MOUSE	reviewed	E3 ubiquitin-protein ligase TRAIP (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAIP) (TRAF-interacting protein)	Traip Trip	Mus musculus (Mouse)	470
Q80V85	TRI62_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM62 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM62) (Tripartite motif-containing protein 62)	Trim62	Mus musculus (Mouse)	475
Q9ESN6	TRIM2_MOUSE	reviewed	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (Neural activity-related RING finger protein) (RING-type E3 ubiquitin transferase TRIM2)	Trim2 Kiaa0517 Narf	Mus musculus (Mouse)	744
Q8K304	TM129_MOUSE	reviewed	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	Tmem129	Mus musculus (Mouse)	362
Q922B6	TRAF7_MOUSE	reviewed	E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7)	Traf7	Mus musculus (Mouse)	594
Q60803	TRAF3_MOUSE	reviewed	TNF receptor-associated factor 3 (EC 2.3.2.27) (CD40 receptor-associated factor 1) (CRAF1) (RING-type E3 ubiquitin transferase TRAF3) (TRAFAMN)	Traf3 Craf1 Trafamn	Mus musculus (Mouse)	567
Q8C7M3	TRIM9_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	Trim9 Kiaa0282	Mus musculus (Mouse)	817
P39429	TRAF2_MOUSE	reviewed	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2)	Traf2	Mus musculus (Mouse)	501
Q9CYB0	TRI13_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (Putative tumor suppressor RFP2) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)	Trim13 Rfp2	Mus musculus (Mouse)	407
Q99PQ2	TRI11_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM11) (Tripartite motif-containing protein 11)	Trim11	Mus musculus (Mouse)	467
Q80VI1	TRI56_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM56) (Tripartite motif-containing protein 56)	Trim56	Mus musculus (Mouse)	734
Q7TPM3	TRI17_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM17 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM17) (Tripartite motif-containing protein 17)	Trim17	Mus musculus (Mouse)	477
Q5NCC9	TRI58_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM58 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM58) (Tripartite motif-containing protein 58)	Trim58 Gm16	Mus musculus (Mouse)	485
O70583	TRI18_MOUSE	reviewed	E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (Midin) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)	Mid1 Fxy Trim18	Mus musculus (Mouse)	680
Q61510	TRI25_MOUSE	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	Trim25 Efp Zfp147 Znf147	Mus musculus (Mouse)	634
Q80X56	TRI69_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM69 (EC 2.3.2.27) (RING finger B-box coiled-coil transcription factor) (RING finger protein 36) (RING-type E3 ubiquitin transferase TRIM69) (Testis-specific RING finger protein) (Tripartite motif-containing protein 69)	Trim69 Rnf36 Trif	Mus musculus (Mouse)	500
Q62158	TRI27_MOUSE	reviewed	Zinc finger protein RFP (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27)	Trim27 Rfp	Mus musculus (Mouse)	513
Q9QUS6	TRIM1_MOUSE	reviewed	Probable E3 ubiquitin-protein ligase MID2 (EC 2.3.2.27) (Midline defect 2) (Midline-2) (RING-type E3 ubiquitin transferase MID2) (Tripartite motif-containing protein 1)	Mid2 Fxy2 Trim1	Mus musculus (Mouse)	705
P70196	TRAF6_MOUSE	reviewed	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	Traf6	Mus musculus (Mouse)	530
Q80WG7	TRI36_MOUSE	reviewed	E3 ubiquitin-protein ligase Trim36 (EC 2.3.2.27) (Acrosome RBCC protein) (Haprin) (RING-type E3 ubiquitin transferase TRIM36) (Tripartite motif-containing protein 36)	Trim36	Mus musculus (Mouse)	729
Q9ESN2	TRI39_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM39 (EC 2.3.2.27) (RING finger protein 23) (RING-type E3 ubiquitin transferase TRIM39) (Testis-abundant finger protein) (Tripartite motif-containing protein 39)	Trim39 Rnf23 Tfp	Mus musculus (Mouse)	488
Q5NCC3	TRI41_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM41 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM41) (Tripartite motif-containing protein 41)	Trim41	Mus musculus (Mouse)	630
Q8BGE7	TRIM6_MOUSE	reviewed	Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM6)	Trim6	Mus musculus (Mouse)	488
Q99PP7	TRI33_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	Trim33 Kiaa1113	Mus musculus (Mouse)	1142
Q9D9R0	RN125_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125)	Rnf125	Mus musculus (Mouse)	233
Q9CWS1	RN135_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF135 (EC 2.3.2.27) (RING finger protein 135) (RING-type E3 ubiquitin transferase RNF135)	Rnf135	Mus musculus (Mouse)	417
E9QAU8	RN165_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF165 (EC 2.3.2.27) (Arkadia-like protein 2C) (Ark2C) (RING finger protein 165)	Rnf165 Ark2c Gm96	Mus musculus (Mouse)	347
E9Q7F2	RN169_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF169 (EC 2.3.2.27) (RING finger protein 169) (RING-type E3 ubiquitin transferase RNF169)	Rnf169 Kiaa1991	Mus musculus (Mouse)	694
O54965	RNF13_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF13 (EC 2.3.2.27) (RING finger protein 13) (RING-type E3 ubiquitin transferase RNF13)	Rnf13 Rzf	Mus musculus (Mouse)	381
Q9JI90	RNF14_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF14 (EC 2.3.2.31) (Androgen receptor-associated protein 54) (Protein Triad2) (RING finger protein 14)	Rnf14 Ara54 Triad2	Mus musculus (Mouse)	485
Q8BG47	RN152_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF152 (EC 2.3.2.27) (RING finger protein 152) (RING-type E3 ubiquitin transferase RNF152)	Rnf152	Mus musculus (Mouse)	203
Q96DY5	RN112_MOUSE	reviewed	RING finger protein 112 (EC 2.3.2.27) (Brain finger protein) (Neurolastin) (Zinc finger protein 179)	Rnf112 Bfp Znf179	Mus musculus (Mouse)	654
Q3TEL6	RN157_MOUSE	reviewed	E3 ubiquitin ligase Rnf157 (EC 2.3.2.27) (RING finger protein 157) (RING-type E3 ubiquitin transferase Rnf157)	Rnf157 Kiaa1917	Mus musculus (Mouse)	685
Q5SWK7	RN145_MOUSE	reviewed	RING finger protein 145 (EC 2.3.2.27)	Rnf145	Mus musculus (Mouse)	663
Q80XJ2	RN168_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF168 (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168)	Rnf168	Mus musculus (Mouse)	565
Q9CZW6	RN146_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	Rnf146	Mus musculus (Mouse)	359
F6TQD1	RN212_MOUSE	reviewed	Probable E3 SUMO-protein ligase RNF212 (EC 2.3.2.-) (Probable E3 SUMO-protein transferase RNF212) (RING finger protein 212)	Rnf212	Mus musculus (Mouse)	307
P58283	RN216_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (UbcM4-interacting protein 83) (Ubiquitin-conjugating enzyme 7-interacting protein 1)	Rnf216 Triad3 Ubce7ip1 Uip83 Zin	Mus musculus (Mouse)	853
Q9CY62	RN181_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181) (RING-type E3 ubiquitin transferase RNF181)	Rnf181	Mus musculus (Mouse)	165
Q9DBU5	RNF6_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF6) (RLIM-like protein)	Rnf6	Mus musculus (Mouse)	667
Q924T7	RNF31_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.27) (HOIL-1-interacting protein) (HOIP) (Putative Ariadne-like ubiquitin ligase) (PAUL) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31)	Rnf31 Paul	Mus musculus (Mouse)	1066
Q99KR6	RNF34_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF34 (EC 2.3.2.27) (Phafin-1) (RING finger protein 34) (RING-type E3 ubiquitin transferase RNF34)	Rnf34	Mus musculus (Mouse)	376
Q9DCN7	RNFT1_MOUSE	reviewed	E3 ubiquitin-protein ligase RNFT1 (EC 2.3.2.27) (RING finger and transmembrane domain-containing protein 1)	Rnft1	Mus musculus (Mouse)	395
O35730	RING1_MOUSE	reviewed	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (Polycomb complex protein RING1) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1) (Transcription repressor Ring1A)	Ring1 Ring1A Rnf1	Mus musculus (Mouse)	406
Q8CB27	OTU1_MOUSE	reviewed	Ubiquitin thioesterase OTU1 (EC 3.4.19.12)	Yod1	Mus musculus (Mouse)	343
Q8K2H2	OTU6B_MOUSE	reviewed	Deubiquitinase OTUD6B (OTU domain-containing protein 6B) (EC 3.4.19.12)	Otud6b	Mus musculus (Mouse)	294
B2RUR8	OTU7B_MOUSE	reviewed	OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne)	Otud7b	Mus musculus (Mouse)	840
Q7TQI3	OTUB1_MOUSE	reviewed	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (Ubiquitin-specific-processing protease OTUB1)	Otub1	Mus musculus (Mouse)	271
B2RRE7	OTUD4_MOUSE	reviewed	OTU domain-containing protein 4 (EC 3.4.19.12)	Otud4 Kiaa1046	Mus musculus (Mouse)	1107
O08919	NUMBL_MOUSE	reviewed	Numb-like protein	Numbl Nbl	Mus musculus (Mouse)	604
P46935	NEDD4_MOUSE	reviewed	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	Nedd4 Kiaa0093 Nedd-4 Nedd4-1 Nedd4a	Mus musculus (Mouse)	887
P29595	NEDD8_MOUSE	reviewed	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)	Nedd8 Nedd-8	Mus musculus (Mouse)	81
Q9D0S4	NEUL2_MOUSE	reviewed	Neuralized-like protein 2	Neurl2 Ozz	Mus musculus (Mouse)	285
Q9CPR8	NSE3_MOUSE	reviewed	Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (MAGE-G1 antigen) (Necdin-like protein 2)	Nsmce3 Mageg1 Ndnl2	Mus musculus (Mouse)	279
Q80T85	DCAF5_MOUSE	reviewed	DDB1- and CUL4-associated factor 5 (WD repeat-containing protein 22)	Dcaf5 Kiaa1824 Wdr22	Mus musculus (Mouse)	946
Q059Y8	DCST1_MOUSE	reviewed	E3 ubiquitin-protein ligase DCST1 (EC 2.3.2.27) (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase)	Dcst1	Mus musculus (Mouse)	732
Q8VE73	CUL7_MOUSE	reviewed	Cullin-7 (CUL-7) (p185) (p193)	Cul7 Kiaa0076	Mus musculus (Mouse)	1689
Q8BGZ3	DCA12_MOUSE	reviewed	DDB1- and CUL4-associated factor 12 (WD repeat-containing protein 40A)	Dcaf12 Kiaa1892 Wdr40a	Mus musculus (Mouse)	453
Q9DC22	DCAF6_MOUSE	reviewed	DDB1- and CUL4-associated factor 6 (IQ motif and WD repeat-containing protein 1) (Nuclear receptor interaction protein) (NRIP)	Dcaf6 Iqwd1	Mus musculus (Mouse)	876
Q9QZ73	DCNL1_MOUSE	reviewed	DCN1-like protein 1 (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Testis-specific protein 3)	Dcun1d1 Dcun1l1 Rp42 Tes3	Mus musculus (Mouse)	259
Q9D0A0	DET1_MOUSE	reviewed	DET1 homolog (De-etiolated-1 homolog)	Det1	Mus musculus (Mouse)	550
Q3V0Q1	DYH12_MOUSE	reviewed	Dynein heavy chain 12, axonemal (Axonemal beta dynein heavy chain 12) (Axonemal dynein heavy chain 12-like protein) (Axonemal dynein heavy chain 7-like protein) (Ciliary dynein heavy chain 12)	Dnah12 Dnah12l Dnah7l Dnahc12 Dnahc7l	Mus musculus (Mouse)	3086
Q3TLR7	DTL_MOUSE	reviewed	Denticleless protein homolog (Lethal(2) denticleless protein homolog) (Meth A retinoic acid-regulated nuclear matrix-associated protein) (Meth A RAMP) (Retinoic acid-regulated nuclear matrix-associated protein)	Dtl Cdt2 L2dtl Ramp	Mus musculus (Mouse)	729
Q8CDU4	DRC6_MOUSE	reviewed	Dynein regulatory complex subunit 6 (F-box and leucine-rich repeat protein 13) (F-box/LRR-repeat protein 13)	Fbxl13 Drc6	Mus musculus (Mouse)	790
