Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Class
E9Q8D0	DJC21_MOUSE	reviewed	DnaJ homolog subfamily C member 21	Dnajc21	Mus musculus (Mouse)	531	DnaJ
Q8CHS2	DJC22_MOUSE	reviewed	DnaJ homolog subfamily C member 22	Dnajc22	Mus musculus (Mouse)	339	DnaJ
A2ALW5	DJC25_MOUSE	reviewed	DnaJ homolog subfamily C member 25	Dnajc25	Mus musculus (Mouse)	357	DnaJ
Q8VCE1	DJC28_MOUSE	reviewed	DnaJ homolog subfamily C member 28	Dnajc28 ORF28	Mus musculus (Mouse)	385	DnaJ
Q91YW3	DNJC3_MOUSE	reviewed	"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"	Dnajc3 P58ipk	Mus musculus (Mouse)	504	DnaJ
P59041	DJC30_MOUSE	reviewed	DnaJ homolog subfamily C member 30 (Williams-Beuren syndrome chromosomal region 18 protein homolog)	Dnajc30 Wbscr18	Mus musculus (Mouse)	219	DnaJ
Q9D844	DNJC4_MOUSE	reviewed	DnaJ homolog subfamily C member 4 (Multiple endocrine neoplasia type 1 candidate protein number 18 homolog)	Dnajc4 Mcg18	Mus musculus (Mouse)	244	DnaJ
P60904	DNJC5_MOUSE	reviewed	DnaJ homolog subfamily C member 5 (Cysteine string protein) (CSP)	Dnajc5	Mus musculus (Mouse)	198	DnaJ
Q9CQ94	DNJ5B_MOUSE	reviewed	DnaJ homolog subfamily C member 5B (Cysteine string protein beta) (CSP-beta)	Dnajc5b	Mus musculus (Mouse)	199	DnaJ
Q80TZ3	AUXI_MOUSE	reviewed	Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6)	Dnajc6 Kiaa0473	Mus musculus (Mouse)	938	DnaJ
Q9QYI3	DNJC7_MOUSE	reviewed	DnaJ homolog subfamily C member 7 (Cytoplasmic CAR retention protein) (CCRP) (MDj11) (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	Dnajc7 Ttc2	Mus musculus (Mouse)	494	DnaJ
Q6NZB0	DNJC8_MOUSE	reviewed	DnaJ homolog subfamily C member 8	Dnajc8	Mus musculus (Mouse)	253	DnaJ
Q91WN1	DNJC9_MOUSE	reviewed	DnaJ homolog subfamily C member 9	Dnajc9	Mus musculus (Mouse)	259	DnaJ
Q9JLC8	SACS_MOUSE	reviewed	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	Sacs Kiaa0730	Mus musculus (Mouse)	4582	DnaJ
P61222	ABCE1_MOUSE	reviewed	ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	Abce1 Rli	Mus musculus (Mouse)	599	
Q9CY02	AHSP_MOUSE	reviewed	Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor)	Ahsp Edrf Eraf	Mus musculus (Mouse)	102	
O08583	THOC4_MOUSE	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (REF1-I) (RNA and export factor-binding protein 1) (Transcriptional coactivator Aly/REF)	Alyref Aly Ref1 Refbp1 THOC4	Mus musculus (Mouse)	255	
Q9JJW6	ALRF2_MOUSE	reviewed	Aly/REF export factor 2 (Alyref) (RNA and export factor-binding protein 2)	Alyref2 Ref2 Refbp2	Mus musculus (Mouse)	218	
Q3UX43	AN13C_MOUSE	reviewed	Ankyrin repeat domain-containing protein 13C	Ankrd13c	Mus musculus (Mouse)	541	
Q9EST5	AN32B_MOUSE	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member B (Proliferation-related acidic leucine-rich protein PAL31)	Anp32b Pal31	Mus musculus (Mouse)	272	
P97822	AN32E_MOUSE	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L)	Anp32e Cpd1	Mus musculus (Mouse)	260	
Q9CQE6	ASF1A_MOUSE	reviewed	Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A)	Asf1a	Mus musculus (Mouse)	204	
Q9DAP7	ASF1B_MOUSE	reviewed	Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (mCIA-II)	Asf1b	Mus musculus (Mouse)	202	
O08997	ATOX1_MOUSE	reviewed	Copper transport protein ATOX1 (Metal transport protein ATX1)	Atox1	Mus musculus (Mouse)	68	
Q91YY4	ATPF2_MOUSE	reviewed	ATP synthase mitochondrial F1 complex assembly factor 2	Atpaf2	Mus musculus (Mouse)	289	
Q9DBI2	BBS10_MOUSE	reviewed	Bardet-Biedl syndrome 10 protein homolog	Bbs10	Mus musculus (Mouse)	713	
Q9CZP5	BCS1_MOUSE	reviewed	Mitochondrial chaperone BCS1 (BCS1-like protein)	Bcs1l	Mus musculus (Mouse)	418	
Q64152	BTF3_MOUSE	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	Btf3	Mus musculus (Mouse)	204	
Q9JMG2	C1GLC_MOUSE	reviewed	"C1GALT1-specific chaperone 1 (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (mC1Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone)"	C1galt1c1 Cosmc	Mus musculus (Mouse)	316	
Q9WU84	CCS_MOUSE	reviewed	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	Ccs Ccsd	Mus musculus (Mouse)	274	
P04441	HG2A_MOUSE	reviewed	H-2 class II histocompatibility antigen gamma chain (Ia antigen-associated invariant chain) (Ii) (MHC class II-associated invariant chain) (CD antigen CD74)	Cd74 Ii	Mus musculus (Mouse)	279	
Q9QWF0	CAF1A_MOUSE	reviewed	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150)	Chaf1a Caip150	Mus musculus (Mouse)	911	
Q9D1P4	CHRD1_MOUSE	reviewed	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (Chp-1) (Protein morgana)	Chordc1 Chp1 Morgana	Mus musculus (Mouse)	331	
P52194	CLGN_MOUSE	reviewed	Calmegin (A2/6) (Calnexin-T) (MEG 1 antigen)	Clgn Meg1	Mus musculus (Mouse)	611	
Q549A5	Q549A5_MOUSE	unreviewed	Clusterin	Clu	Mus musculus (Mouse)	448	
Q06890	CLUS_MOUSE	reviewed	Clusterin (Apolipoprotein J) (Apo-J) (Clustrin) (Sulfated glycoprotein 2) (SGP-2) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]	Clu Apoj Msgp-2	Mus musculus (Mouse)	448	
Q9DAU1	CNPY3_MOUSE	reviewed	Protein canopy homolog 3 (Protein associated with Tlr4) (Trinucleotide repeat-containing gene 5 protein)	Cnpy3 Prat4a Tnrc5	Mus musculus (Mouse)	276	
Q9CQI6	COTL1_MOUSE	reviewed	Coactosin-like protein	Cotl1 Clp	Mus musculus (Mouse)	142	
P56394	COX17_MOUSE	reviewed	Cytochrome c oxidase copper chaperone	Cox17 Cox17a	Mus musculus (Mouse)	63	
Q9JI95	Q9JI95_MOUSE	unreviewed	CPN10-like protein (MCG8024)	Cpn10-rs1 mCG_8024	Mus musculus (Mouse)	102	
Q3TYS2	CYBC1_MOUSE	reviewed	Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros)	Cybc1 Eros	Mus musculus (Mouse)	187	
O35613	DAXX_MOUSE	reviewed	Death domain-associated protein 6 (Daxx)	Daxx	Mus musculus (Mouse)	739	
Q9D113	DNLZ_MOUSE	reviewed	DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein)	Dnlz D2Bwg1335e	Mus musculus (Mouse)	177	
Q9D1Q6	ERP44_MOUSE	reviewed	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	Erp44 Kiaa0573 Txndc4	Mus musculus (Mouse)	406	
Q6PG16	HJURP_MOUSE	reviewed	Holliday junction recognition protein (Fetal liver expressing gene 1 protein homolog) (mFleg1)	Hjurp Fleg1	Mus musculus (Mouse)	667	
Q8K3A0	HSC20_MOUSE	reviewed	"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial (Hsc20)"	Hscb Hsc20	Mus musculus (Mouse)	234	
D3Z7J9	D3Z7J9_MOUSE	unreviewed	"60 kDa heat shock protein, mitochondrial (Fragment)"	Hspd1	Mus musculus (Mouse)	142	
D3Z2F2	D3Z2F2_MOUSE	unreviewed	"60 kDa heat shock protein, mitochondrial (Fragment)"	Hspd1	Mus musculus (Mouse)	202	
P63038	CH60_MOUSE	reviewed	"60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (HSP-65) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)"	Hspd1 Hsp60	Mus musculus (Mouse)	573	
Q64433	CH10_MOUSE	reviewed	"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)"	Hspe1	Mus musculus (Mouse)	102	
Q4KL76	Q4KL76_MOUSE	unreviewed	Heat shock protein 1 (Chaperonin 10) (MCG117539)	Hspe1 mCG_117539	Mus musculus (Mouse)	102	
Q9JKR6	HYOU1_MOUSE	reviewed	Hypoxia up-regulated protein 1 (GRP-170) (140 kDa Ca(2+)-binding protein) (CBP-140)	Hyou1 Grp170	Mus musculus (Mouse)	999	
Q61249	IGBP1_MOUSE	reviewed	Immunoglobulin-binding protein 1 (Alpha4 phosphoprotein) (CD79a-binding protein 1) (Lymphocyte signal transduction molecule alpha 4) (Protein phosphatase 2/4/6 regulatory subunit) (p52)	Igbp1 Pc52	Mus musculus (Mouse)	340	
Q3U3R4	LMF1_MOUSE	reviewed	Lipase maturation factor 1 (Transmembrane protein 112)	Lmf1 Tmem112	Mus musculus (Mouse)	574	
Q9DA03	LYRM7_MOUSE	reviewed	Complex III assembly factor LYRM7 (LYR motif-containing protein 7)	Lyrm7 MZM1L	Mus musculus (Mouse)	104	
J3QMC5	J3QMC5_MOUSE	unreviewed	Midasin	Mdn1	Mus musculus (Mouse)	5582	
A2ANY6	A2ANY6_MOUSE	unreviewed	Midasin	Mdn1	Mus musculus (Mouse)	5589	
Q9ERE7	MESD_MOUSE	reviewed	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein)	Mesd Mesdc2	Mus musculus (Mouse)	224	
Q9JI70	MKKS_MOUSE	reviewed	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin (Protein Bbs6 homolog)	Mkks Bbs6	Mus musculus (Mouse)	570	
Q8C7H1	MMAA_MOUSE	reviewed	"Methylmalonic aciduria type A homolog, mitochondrial (EC 3.6.-.-)"	Mmaa	Mus musculus (Mouse)	415	
Q9CQL5	RM18_MOUSE	reviewed	"39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18)"	Mrpl18	Mus musculus (Mouse)	180	
Q9CWX2	CIA30_MOUSE	reviewed	"Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)"	Ndufaf1 Cia30	Mus musculus (Mouse)	328	
Q59J78	NDUF2_MOUSE	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)	Ndufaf2 Ndufa12l	Mus musculus (Mouse)	168	
P60670	NPL4_MOUSE	reviewed	Nuclear protein localization protein 4 homolog (Protein NPL4)	Nploc4 Kiaa1499 Npl4	Mus musculus (Mouse)	608	
Q99LX0	PARK7_MOUSE	reviewed	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Parkinson disease protein 7 homolog) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	Park7	Mus musculus (Mouse)	189	
Q9DBX2	PHLP_MOUSE	reviewed	Phosducin-like protein (PHLP)	Pdcl PhLP1	Mus musculus (Mouse)	301	
Q9DAN1	PDILT_MOUSE	reviewed	Protein disulfide-isomerase-like protein of the testis	Pdilt	Mus musculus (Mouse)	588	
P59048	PDRG1_MOUSE	reviewed	p53 and DNA damage-regulated protein 1	Pdrg1 Pdrg	Mus musculus (Mouse)	133	
P12961	7B2_MOUSE	reviewed	Neuroendocrine protein 7B2 (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	Scg5 Sgne-1 Sgne1	Mus musculus (Mouse)	212	
Q5SUC9	SCO1_MOUSE	reviewed	"Protein SCO1 homolog, mitochondrial"	Sco1	Mus musculus (Mouse)	284	
Q8VCL2	SCO2_MOUSE	reviewed	"Protein SCO2 homolog, mitochondrial"	Sco2	Mus musculus (Mouse)	255	
Q3U276	SDHF1_MOUSE	reviewed	"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)"	Sdhaf1 Lyrm8	Mus musculus (Mouse)	118	
Q8C6I2	SDHF2_MOUSE	reviewed	"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)"	Sdhaf2 Pgl2 Sdh5	Mus musculus (Mouse)	164	
Q8BQU3	SDHF3_MOUSE	reviewed	"Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3)"	Sdhaf3 Acn9	Mus musculus (Mouse)	125	
Q8BTE0	SDHF4_MOUSE	reviewed	"Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4)"	Sdhaf4	Mus musculus (Mouse)	104	
P19324	SERPH_MOUSE	reviewed	Serpin H1 (47 kDa heat shock protein) (Collagen-binding protein) (Colligin) (Serine protease inhibitor J6)	Serpinh1 Cbp1 Hsp47	Mus musculus (Mouse)	417	
Q9EQU5	SET_MOUSE	reviewed	Protein SET (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	Set	Mus musculus (Mouse)	289	
Q8BJU0	SGTA_MOUSE	reviewed	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT)	Sgta Sgt	Mus musculus (Mouse)	315	
Q8VD33	SGTB_MOUSE	reviewed	Small glutamine-rich tetratricopeptide repeat-containing protein beta (Beta-SGT)	Sgtb	Mus musculus (Mouse)	304	
Q62383	SPT6H_MOUSE	reviewed	Transcription elongation factor SPT6	Supt6h Kiaa0162 Supt6	Mus musculus (Mouse)	1726	
P48428	TBCA_MOUSE	reviewed	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	Tbca	Mus musculus (Mouse)	108	
A0A1Y7VJ48	A0A1Y7VJ48_MOUSE	unreviewed	Tubulin-specific chaperone A	Tbca	Mus musculus (Mouse)	84	
Q5I0U7	Q5I0U7_MOUSE	unreviewed	Tubulin-specific chaperone A	Tbca mCG_122050	Mus musculus (Mouse)	108	
Q9D1E6	TBCB_MOUSE	reviewed	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	Tbcb Ckap1	Mus musculus (Mouse)	244	
Q8VCN9	TBCC_MOUSE	reviewed	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	Tbcc	Mus musculus (Mouse)	341	
Q8BYA0	TBCD_MOUSE	reviewed	Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D)	Tbcd	Mus musculus (Mouse)	1196	
Q8CIV8	TBCE_MOUSE	reviewed	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	Tbce	Mus musculus (Mouse)	524	
P62073	TIM10_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim10	Timm10 Tim10	Mus musculus (Mouse)	90	
A0A1W2P7H2	A0A1W2P7H2_MOUSE	unreviewed	Mitochondrial import inner membrane translocase subunit Tim13	Timm13	Mus musculus (Mouse)	80	
A0A1W2P756	A0A1W2P756_MOUSE	unreviewed	Mitochondrial import inner membrane translocase subunit Tim13	Timm13	Mus musculus (Mouse)	75	
P62075	TIM13_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim13	Timm13 Tim13a Timm13a	Mus musculus (Mouse)	95	
Q9WVA2	TIM8A_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1 homolog)	Timm8a1 Ddp1 Tim8a Timm8a	Mus musculus (Mouse)	97	
Q4FZG7	TI8AB_MOUSE	reviewed	Putative mitochondrial import inner membrane translocase subunit Tim8 A-B	Timm8a2 Timm8ab	Mus musculus (Mouse)	97	
P62077	TIM8B_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim8 B (Deafness dystonia protein 2 homolog)	Timm8b Ddp2 Tim8b	Mus musculus (Mouse)	83	
Q9WV98	TIM9_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim9	Timm9 Tim9 Tim9a Timm9a	Mus musculus (Mouse)	89	
Q8BUY5	TIDC1_MOUSE	reviewed	"Complex I assembly factor TIMMDC1, mitochondrial (Translocase of inner mitochondrial membrane domain-containing protein 1) (TIMM domain containing-protein 1)"	Timmdc1	Mus musculus (Mouse)	285	
Q9D1R1	T126B_MOUSE	reviewed	"Complex I assembly factor TMEM126B, mitochondrial (Transmembrane protein 126B)"	Tmem126b	Mus musculus (Mouse)	230	
Q9CYG7	TOM34_MOUSE	reviewed	Mitochondrial import receptor subunit TOM34 (Translocase of outer membrane 34 kDa subunit)	Tomm34	Mus musculus (Mouse)	309	
Q9ER39	TOR1A_MOUSE	reviewed	Torsin-1A (Dystonia 1 protein) (Torsin ATPase 1) (EC 3.6.4.-) (Torsin family 1 member A)	Tor1a Dyt1	Mus musculus (Mouse)	333	
Q9ER41	TOR1B_MOUSE	reviewed	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	Tor1b	Mus musculus (Mouse)	336	
Q9CQN1	TRAP1_MOUSE	reviewed	"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	Trap1 Hsp75	Mus musculus (Mouse)	706	
Q9DA44	TSACC_MOUSE	reviewed	TSSK6-activating co-chaperone protein	Tsacc	Mus musculus (Mouse)	124	
Q9EP53	TSC1_MOUSE	reviewed	Hamartin (Tuberous sclerosis 1 protein homolog)	Tsc1 Kiaa0243	Mus musculus (Mouse)	1161	
Q99KD5	UN45A_MOUSE	reviewed	Protein unc-45 homolog A (Unc-45A) (Stromal membrane-associated protein 1) (SMAP-1)	Unc45a Smap1	Mus musculus (Mouse)	944	
Q8CGY6	UN45B_MOUSE	reviewed	Protein unc-45 homolog B (Unc-45B)	Unc45b Cmya4	Mus musculus (Mouse)	931	
Q9WTZ0	UXT_MOUSE	reviewed	Protein UXT (Ubiquitously expressed transcript protein)	Uxt	Mus musculus (Mouse)	157	
